abolish	do away with; "Slavery was abolished in the mid-19th century in America and in Russia"
adjust	place in a line or arrange so as to be parallel or straight; "align the car with the curb"; "align the sheets of paper on the table"
adjust	adapt or conform oneself to new or different conditions; "We must adjust to the bad economic situation"
adjust	make correspondent or conformable; "Adjust your eyes to the darkness"
adjust	decide how much is to be paid on an insurance claim
adjustment	making or becoming suitable; adjusting to circumstances
adjustment	the act of making something different (as e.g. the size of a garment)
adjustment	the act of adjusting something to match a standard
adjustment	the process of adapting to something (such as environmental conditions)
adjustment	an amount added or deducted on the basis of qualifying circumstances; "an allowance for profit"
administer	work in an administrative capacity; supervise or be in charge of; "administer a program"; "she administers the funds"
administer	perform (a church sacrament) ritually; "administer the last unction"
administer	administer or bestow, as in small portions; "administer critical remarks to everyone present"; "dole out some money"; "shell out pocket money for the children"; "deal a blow to someone"; "the machine dispenses soft drinks"
administer	give or apply (medications)
administer	direct the taking of; "administer an exam"; "administer an oath"
administrative	of or relating to or responsible for administration
administrator	someone who administers a business
administrator	the party appointed by a probate court to distribute the estate of someone who dies without a will or without naming an executor
administrator	someone who manages a government agency or department
admission	the act of admitting someone to enter; "the surgery was performed on his second admission to the clinic"
admission	an acknowledgment of the truth of something
admission	the fee charged for admission
admission	the right to enter
adolescent	relating to or peculiar to or suggestive of an adolescent; "adolescent problems"
adolescent	being of the age 13 through 19; "teenage mothers"; "the teen years"
adolescent	displaying or suggesting a lack of maturity; "adolescent insecurity"; "jejune responses to our problems"; "their behavior was juvenile"; "puerile jokes"
adolescent	in the state of development between puberty and maturity; "adolescent boys and girls"
adoption	the act of accepting with approval; favorable reception; "its adoption by society"; "the proposal found wide acceptance"
adoption	a legal proceeding that creates a parent-child relation between persons not related by blood; the adopted child is entitled to all privileges belonging to a natural child of the adoptive parents (including the right to inherit)
adoption	the appropriation (of ideas or words etc) from another source; "the borrowing of ancient motifs was very apparent"
adverse	contrary to your interests or welfare; "adverse circumstances"; "made a place for themselves under the most untoward conditions"
adverse	in an opposing direction; "adverse currents"; "a contrary wind"
advocate	a person who pleads for a cause or propounds an idea
advocate	a lawyer who pleads cases in court
aesthetic	relating to or dealing with the subject of aesthetics; "aesthetic values"
aesthetic	concerning or characterized by an appreciation of beauty or good taste; "the aesthetic faculties"; "an aesthetic person"; "aesthetic feeling"; "the illustrations made the book an aesthetic success"
aesthetic	aesthetically pleasing; "an artistic flower arrangement"
affection	a positive feeling of liking; "he had trouble expressing the affection he felt"; "the child won everyone's heart"; "the warmness of his welcome made us feel right at home"
affordable	that you have the financial means for; "low-cost housing"
aftermath	the consequences of an event (especially a catastrophic event); "the aftermath of war"; "in the wake of the accident no one knew how many had been injured"
aftermath	the outcome of an event especially as relative to an individual
aggression	a disposition to behave aggressively
aggression	a feeling of hostility that arouses thoughts of attack
aggression	violent action that is hostile and usually unprovoked
aggression	the act of initiating hostilities
aggression	deliberately unfriendly behavior
agricultural	relating to or used in or promoting agriculture or farming; "agricultural engineering"; "modern agricultural (or farming) methods"; "agricultural (or farm) equipment"; "an agricultural college"
agricultural	relating to farming or agriculture; "an agrarian (or agricultural) society"; "farming communities"
agriculture	a large-scale farming enterprise
agriculture	the practice of cultivating the land or raising stock
Agriculture	the federal department that administers programs that provide services to farmers (including research and soil conservation and efforts to stabilize the farming economy); created in 1862
agriculture	the class of people engaged in growing food
aide	an officer who acts as military assistant to a more senior officer
aide	someone who acts as assistant
AIDS	a serious (often fatal) disease of the immune system transmitted through blood products especially by sexual contact or contaminated needles
alert	condition of heightened watchfulness or preparation for action; "bombers were put on alert during the crisis"
alert	a warning serves to make you more alert to danger
alert	an automatic signal (usually a sound) warning of danger
alien	not contained in or deriving from the essential nature of something; "an economic theory alien to the spirit of capitalism"; "the mysticism so foreign to the French mind and temper"; "jealousy is foreign to her nature"
alien	being or from or characteristic of another place or part of the world; "alien customs"; "exotic plants in a greenhouse"; "exotic cuisine"
align	place in a line or arrange so as to be parallel or straight; "align the car with the curb"; "align the sheets of paper on the table"
align	be or come into adjustment with
align	align oneself with a group or a way of thinking
align	bring (components or parts) into proper or desirable coordination correlation; "align the wheels of my car"; "ordinate similar parts"
alignment	an organization of people (or countries) involved in a pact or treaty
alignment	the spatial property possessed by an arrangement or position of things in a straight line or in parallel lines
alignment	(astronomy) apparent meeting or passing of two or more celestial bodies in the same degree of the zodiac
alignment	the act of adjusting or aligning the parts of a device in relation to each other
alike	having the same or similar characteristics; "all politicians are alike"; "they looked utterly alike"; "friends are generally alike in background and taste"
allegation	(law) a formal accusation against somebody (often in a court of law); "an allegation of malpractice"
allegation	statements affirming or denying certain matters of fact that you are prepared to prove
allege	report or maintain; "He alleged that he was the victim of a crime"; "He said it was too late to intervene in the war"; "The registrar says that I owe the school money"
allegedly	according to what has been alleged; "he was on trial for allegedly murdering his wife"
alliance	the state of being allied or confederated
alliance	a connection based on kinship or marriage or common interest; "the shifting alliances within a large family"; "their friendship constitutes a powerful bond between them"
alliance	an organization of people (or countries) involved in a pact or treaty
alliance	a formal agreement establishing an association or alliance between nations or other groups to achieve a particular aim
alliance	the act of forming an alliance or confederation
allocate	distribute according to a plan or set apart for a special purpose; "I am allocating a loaf of bread to everyone on a daily basis"; "I'm allocating the rations for the camping trip"
allocation	a share set aside for a specific purpose
allocation	the act of distributing by allotting or apportioning; distribution according to a plan; "the apportionment of seats in the House of Representatives is based on the relative population of each state"
allocation	(computer science) the assignment of particular areas of a magnetic disk to particular data or instructions
allowance	an amount allowed or granted (as during a given period); "travel allowance"; "my weekly allowance of two eggs"; "a child's allowance should not be too generous"
allowance	a sum granted as reimbursement for expenses
allowance	an amount added or deducted on the basis of qualifying circumstances; "an allowance for profit"
allowance	a permissible difference; allowing some freedom to move within limits
allowance	a reserve fund created by a charge against profits in order to provide for changes in the value of a company's assets
allowance	the act of allowing; "He objected to the allowance of smoking in the dining room"
ally	a friendly nation
ally	an associate who provides cooperation or assistance; "he's a good ally in fight"
alongside	side by side; "anchored close aboard another ship"
altogether	to a complete degree or to the full or entire extent (`whole' is often used informally for `wholly'); "he was wholly convinced"; "entirely satisfied with the meal"; "it was completely different from what we expected"; "was completely at fault"; "a totally new situation"; "the directions were all wrong"; "it was not altogether her fault"; "an altogether new approach"; "a whole new idea"; "she felt right at home"; "he fell right into the trap"
altogether	with everything included or counted; "altogether he earns close to a million dollars"
altogether	with everything considered (and neglecting details); "altogether, I'm sorry it happened"; "all in all, it's not so bad"
aluminium	a silvery ductile metallic element found primarily in bauxite
amateur	engaged in as a pastime; "an amateur painter"; "gained valuable experience in amateur theatricals"; "recreational golfers"; "reading matter that is both recreational and mentally stimulating"; "unpaid extras in the documentary"
amateur	lacking professional skill or expertise; "a very amateurish job"; "inexpert but conscientious efforts"; "an unskilled painting"
ambassador	a diplomat of the highest rank; accredited as representative from one country to another
ambassador	an informal representative; "an ambassador of good will"
ambulance	a vehicle that takes people to and from hospitals
amend	make amendments to; "amend the document"
amend	to make better; "The editor improved the manuscript with his changes"
amend	set straight or right; "remedy these deficiencies"; "rectify the inequities in salaries"; "repair an oversight"
amendment	the act of amending or correcting
amendment	a statement that is added to or revises or improves a proposal or document (a bill or constitution etc.)
amusing	providing enjoyment; pleasantly entertaining; "an amusing speaker"; "a diverting story"
amusing	arousing or provoking laughter; "an amusing film with a steady stream of pranks and pratfalls"; "an amusing fellow"; "a comic hat"; "a comical look of surprise"; "funny stories that made everybody laugh"; "a very funny writer"; "it would have been laughable if it hadn't hurt so much"; "a mirthful experience"; "risible courtroom antics"
analogy	an inference that if things agree in some respects they probably agree in others
analogy	drawing a comparison in order to show a similarity in some respect; "the operation of a computer presents and interesting analogy to the working of the brain"; "the models show by analogy how matter is built up"
analogy	the religious belief that between creature and creator no similarity can be found so great but that the dissimilarity is always greater; any analogy between God and humans will always be inadequate
analyst	someone who is skilled at analyzing data
analyst	an expert who studies financial data (on credit or securities or sales or financial patterns etc.) and recommends appropriate business actions
analyst	a licensed practitioner of psychoanalysis
ancestor	someone from whom you are descended (but usually more remote than a grandparent)
anchor	a mechanical device that prevents a vessel from moving
anchor	a central cohesive source of support and stability; "faith is his anchor"; "the keystone of campaign reform was the ban on soft money"; "he is the linchpin of this firm"
anchor	a television reporter who coordinates a broadcast to which several correspondents contribute
angel	spiritual being attendant upon God
angel	person of exceptional holiness
angel	invests in a theatrical production
Angel	the highest waterfall; has more than one leap; flow varies seasonally
animation	the condition of living or the state of being alive; "while there's life there's hope"; "life depends on many chemical and physical processes"
animation	the property of being able to survive and grow; "the vitality of a seed"
animation	quality of being active or spirited or alive and vigorous
animation	the activity of giving vitality and vigour to something
animation	the making of animated cartoons
animation	general activity and motion
annually	without missing a year; "they travel to China annually"
annually	by the year; every year (usually with reference to a sum of money paid or received); "he earned $100,000 per annum"; "we issue six volumes per annum"
anonymous	having no known name or identity or known source; "anonymous authors"; "anonymous donors"; "an anonymous gift"
anonymous	not known or lacking marked individuality; "brown anonymous houses"; "anonymous bureaucrats in the Civil Service"
anticipate	regard something as probable or likely; "The meteorologists are expecting rain for tomorrow"
anticipate	act in advance of; deal with ahead of time
anticipate	realize beforehand
anticipate	make a prediction about; tell in advance; "Call the outcome of an election"
anticipate	be excited or anxious about
anticipate	be a forerunner of or occur earlier than; "This composition anticipates Impressionism"
anxiety	(psychiatry) a relatively permanent state of worry and nervousness occurring in a variety of mental disorders, usually accompanied by compulsive behavior or attacks of panic
anxiety	a vague unpleasant emotion that is experienced in anticipation of some (usually ill-defined) misfortune
apology	an expression of regret at having caused trouble for someone; "he wrote a letter of apology to the hostess"
apology	a formal written defense of something you believe in strongly
apology	a poor example; "it was an apology for a meal"; "a poor excuse for an automobile"
apparatus	equipment designed to serve a specific function
apparatus	(anatomy) a group of body parts that work together to perform a given function; "the breathing apparatus"
appealing	able to attract interest or draw favorable attention; "He added an appealing and memorable figure to popular American mythology"- Vincent Starrett; "an appealing sense of humor"; "the idea of having enough money to retire at fifty is very appealing"
appealing	(of characters in literature or drama) evoking empathic or sympathetic feelings; "the sympathetic characters in the play"
appetite	a feeling of craving something; "an appetite for life"; "the object of life is to satisfy as many appetencies as possible"- Granville Hicks
applaud	clap one's hands or shout after performances to indicate approval
applaud	express approval of; "I applaud your efforts"
applicable	capable of being applied; having relevance; "gave applicable examples to support her argument"
applicant	a person who requests or seeks something such as assistance or employment or admission
appoint	create and charge with a task or function; "nominate a committee"
appoint	assign a duty, responsibility or obligation to; "He was appointed deputy manager"; "She was charged with supervising the creation of a concordance"
appoint	furnish; "a beautifully appointed house"
appreciation	understanding of the nature or meaning or quality or magnitude of something; "he has a good grasp of accounting practices"
appreciation	delicate discrimination (especially of aesthetic values); "arrogance and lack of taste contributed to his rapid success"; "to ask at that particular time was the ultimate in bad taste"
appreciation	an expression of gratitude; "he expressed his appreciation in a short note"
appreciation	a favorable judgment; "a small token in admiration of your works"
appreciation	an increase in price or value; "an appreciation of 30% in the value of real estate"
appropriately	in accordance with what is appropriate or suitable for the circumstances; "he was appropriately dressed"; "If you don't behave properly, you'll have to leave!"; "I met the junior senator from Illinois and I was duly impressed"
arbitrary	based on or subject to individual discretion or preference or sometimes impulse or caprice; "an arbitrary decision"; "the arbitrary rule of a dictator"; "an arbitrary penalty"; "of arbitrary size and shape"; "an arbitrary choice"; "arbitrary division of the group into halves"
architectural	of or pertaining to the art and science of architecture; "architectural history"; "architectural design"
archive	a depository containing historical records and documents
arena	a particular environment or walk of life; "his social sphere is limited"; "it was a closed area of employment"; "he's out of my orbit"
arena	the central area of an ancient Roman amphitheater where contests and spectacles were held; especially an area that was strewn with sand
arena	a large structure for open-air sports or entertainments
arena	a playing field where sports events take place
arguably	as can be shown by argument; "she is arguably the best"
arm	a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb
arm	any projection that is thought to resemble a human arm; "the arm of the record player"; "an arm of the sea"; "a branch of the sewer"
arm	any instrument or instrumentality used in fighting or hunting; "he was licensed to carry a weapon"
arm	the part of an armchair or sofa that supports the elbow and forearm of a seated person
arm	a division of some larger or more complex organization; "a branch of Congress"; "botany is a branch of biology"; "the Germanic branch of Indo-European languages"
arm	the part of a garment that is attached at the armhole and that provides a cloth covering for the arm
array	an orderly arrangement; "an array of troops in battle order"
array	an impressive display; "it was a bewildering array of books"; "his tools were in an orderly array on the basement wall"
array	especially fine or decorative clothing
array	an arrangement of aerials spaced to give desired directional characteristics
arrow	a mark to indicate a direction or relation
arrow	a projectile with a straight thin shaft and an arrowhead on one end and stabilizing vanes on the other; intended to be shot from a bow
articulate	expressing yourself easily or characterized by clear expressive language; "articulate speech"; "an articulate orator"; "articulate beings"
articulate	consisting of segments held together by joints
artwork	photographs or other visual representations in a printed publication; "the publisher was responsible for all the artwork in the book"
ash	the residue that remains when something is burned
ash	any of various deciduous pinnate-leaved ornamental or timber trees of the genus Fraxinus
ash	strong elastic wood of any of various ash trees; used for furniture and tool handles and sporting goods such as baseball bats
aside	on or to one side; "step aside"; "stood aside to let him pass"; "threw the book aside"; "put her sewing aside when he entered"
aside	out of the way (especially away from one's thoughts); "brush the objections aside"; "pushed all doubts away"
aside	not taken into account or excluded from consideration; "these problems apart, the country is doing well"; "all joking aside, I think you're crazy"
aside	in a different direction; "turn aside"; "turn away one's face"; "glanced away"
aside	placed or kept separate and distinct as for a purpose; "had a feeling of being set apart"; "quality sets it apart"; "a day set aside for relaxing"
aside	in reserve; not for immediate use; "started setting aside money to buy a car"; "put something by for her old age"; "has a nest egg tucked away for a rainy day"
aspiration	a will to succeed
aspiration	a cherished desire; "his ambition is to own his own business"
aspiration	a manner of articulation involving an audible release of breath
aspiration	the act of inhaling; the drawing in of air (or other gases) as in breathing
aspire	have an ambitious plan or a lofty goal
assassination	an attack intended to ruin someone's reputation
assassination	murder of a public figure by surprise attack
assault	close fighting during the culmination of a military attack
assault	a threatened or attempted physical attack by someone who appears to be able to cause bodily harm if not stopped
Assault	thoroughbred that won the triple crown in 1946
assault	the crime of forcing a person to submit to sexual intercourse against his or her will
assemble	create by putting components or members together; "She pieced a quilt"; "He tacked together some verses"; "They set up a committee"
assemble	collect in one place; "We assembled in the church basement"; "Let's gather in the dining room"
assemble	get people together; "assemble your colleagues"; "get together all those who are interested in the project"; "gather the close family members"
assembly	a group of machine parts that fit together to form a self-contained unit
assembly	the act of constructing something (as a piece of machinery)
assembly	a public facility to meet for open discussion
assembly	a group of persons who are gathered together for a common purpose
assembly	a unit consisting of components that have been fitted together
assembly	the social act of assembling; "they demanded the right of assembly"
assert	state categorically
assert	to declare or affirm solemnly and formally as true; "Before God I swear I am innocent"
assert	insist on having one's opinions and rights recognized; "Women should assert themselves more!"
assert	postulate positively and assertively; "The letter asserts a free society"
assertion	a declaration that is made emphatically (as if no supporting evidence were necessary)
assertion	the act of affirming or asserting or stating something
asset	a useful or valuable quality
assign	give an assignment to (a person) to a post, or assign a task to (a person)
assign	give out; "We were assigned new uniforms"
assign	attribute or credit to; "We attributed this quotation to Shakespeare"; "People impute great cleverness to cats"
assign	select something or someone for a specific purpose; "The teacher assigned him to lead his classmates in the exercise"
assign	attribute or give; "She put too much emphasis on her the last statement"; "He put all his efforts into this job"; "The teacher put an interesting twist to the interpretation of the story"
assign	make undue claims to having
assign	transfer one's right to
assign	decide as to where something belongs in a scheme; "The biologist assigned the mushroom to the proper class"
assistance	the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose; "he gave me an assist with the housework"; "could not walk without assistance"; "rescue party went to their aid"; "offered his help in unloading"
assistance	a person or thing that is a resource that helps make something easier or possible to do; "visual aids in teaching"; "his job was to give technical assistance over the phone"
assistance	gift of money or other material help to support a person or cause; "economic assistance to depressed areas"
assumption	a statement that is assumed to be true and from which a conclusion can be drawn; "on the assumption that he has been injured we can infer that he will not play"
assumption	a hypothesis that is taken for granted; "any society is built upon certain assumptions"
assumption	the act of taking possession of or power over something; "his assumption of office coincided with the trouble in Cuba"; "the Nazi assumption of power in 1934"; "he acquired all the company's assets for ten million dollars and the assumption of the company's debts"
Assumption	celebration in the Roman Catholic Church of the Virgin Mary's being taken up into heaven when her earthly life ended; corresponds to the Dormition in the Eastern Orthodox Church
Assumption	(Christianity) the taking up of the body and soul of the Virgin Mary when her earthly life had ended
assumption	audacious (even arrogant) behavior that you have no right to; "he despised them for their presumptuousness"
assumption	the act of assuming or taking for granted; "your assumption that I would agree was unwarranted"
assurance	freedom from doubt; belief in yourself and your abilities; "his assurance in his superiority did not make him popular"; "after that failure he lost his confidence"; "she spoke with authority"
assurance	a binding commitment to do or give or refrain from something; "an assurance of help when needed"; "signed a pledge never to reveal the secret"
assurance	a statement intended to inspire confidence; "the President's assurances were not respected"
assurance	a British term for some kinds of insurance
assure	make certain of; "This nest egg will ensure a nice retirement for us"; "Preparation will guarantee success!"
assure	inform positively and with certainty and confidence; "I tell you that man is a crook!"
assure	assure somebody of the truth of something with the intention of giving the listener confidence; "I assured him that traveling to Cambodia was safe"
assure	be careful or certain to do something; make certain of something; "He verified that the valves were closed"; "See that the curtains are closed"; "control the quality of the product"
assure	cause to feel sure; give reassurance to; "The airline tried to reassure the customers that the planes were safe"
assure	make a promise or commitment
astonishing	surprising greatly; "she does an amazing amount of work"; "the dog was capable of astonishing tricks"
astonishing	so surprisingly impressive as to stun or overwhelm; "such an enormous response was astonishing"; "an astounding achievement"; "the amount of money required was staggering"; "suffered a staggering defeat"; "the figure inside the boucle dress was stupefying"
asylum	a shelter from danger or hardship
asylum	a hospital for mentally incompetent or unbalanced person
atrocity	the quality of being shockingly cruel and inhumane
atrocity	an act of atrocious cruelty
attachment	a feeling of affection for a person or an institution
attachment	a supplementary part or accessory
attachment	a writ authorizing the seizure of property that may be needed for the payment of a judgment in a judicial proceeding
attachment	a connection that fastens things together
attachment	faithful support for a cause or political party or religion; "attachment to a formal agenda"; "adherence to a fat-free diet"; "the adhesion of Seville was decisive"
attachment	the act of attaching or affixing something
attachment	the act of fastening things together
attain	to gain with effort; "she achieved her goal despite setbacks"
attain	reach a point in time, or a certain state or level; "The thermometer hit 100 degrees"; "This car can reach a speed of 140 miles per hour"
